,nr transakcji,payment_schedule,interest_rates,discount_factors,cash_flows,BPV,NPV
0,CIRS_A,"[{'start_date': '2023-01-17', 'end_date': '2023-04-17'}, {'start_date': '2023-04-17', 'end_date': '2023-07-17'}, {'start_date': '2023-07-17', 'end_date': '2023-10-16'}, {'start_date': '2023-10-16', 'end_date': '2024-01-15'}, {'start_date': '2024-01-15', 'end_date': '2024-04-15'}, {'start_date': '2024-04-15', 'end_date': '2024-07-15'}, {'start_date': '2024-07-15', 'end_date': '2024-10-15'}, {'start_date': '2024-10-15', 'end_date': '2025-01-15'}]","[0.06725562416148294, 0.19391809856632208, 0.22191667693465802, 0.2112271817290064, 0.27490090189254507, 0.1272408181379012, 0.1214260211499821, 0.11016280541159482]","[0.9957805648061879, 0.9878300507752062, 0.9790665902504428, 0.9703130102144408, 0.9617183432539154, 0.9538088742799077, 0.9462761758073346, 0.9391901685131562]","[-16583.578560365655, -48346.70402612414, -55327.17150973666, -52662.11928038242, -68536.93718416877, -31723.05328917537, -30606.01081040645, -27767.063281826642]",-399.7797112907283,-1278778.0918573616
1,CIRS_A,"[{'start_date': '2023-01-17', 'end_date': '2023-04-17'}, {'start_date': '2023-04-17', 'end_date': '2023-07-17'}, {'start_date': '2023-07-17', 'end_date': '2023-10-16'}, {'start_date': '2023-10-16', 'end_date': '2024-01-15'}, {'start_date': '2024-01-15', 'end_date': '2024-04-15'}, {'start_date': '2024-04-15', 'end_date': '2024-07-15'}, {'start_date': '2024-07-15', 'end_date': '2024-10-15'}, {'start_date': '2024-10-15', 'end_date': '2025-01-15'}]","[0.1742020319498995, 0.5526244516965274, 0.2686133956722432, 0.2495210815283488, 0.22054108195344643, 0.21069037340668753, 0.1934218270114344, 0.17990311573042353]","[0.9879714225927552, 0.970060693976514, 0.9522150706230333, 0.9336423474832001, 0.9166356594886753, 0.9014657671265655, 0.8867538177673978, 0.8729019813670855]","[194151.74410197017, 622754.7656762073, 302701.53947371803, 281186.3322033984, 248528.6515865523, 237427.84764284582, 220363.10286146545, 204961.40176805295]",25735.498425836675,6056401.640728061
2,CIRS_B,"[{'start_date': '2022-11-23', 'end_date': '2023-02-23'}, {'start_date': '2023-02-23', 'end_date': '2023-05-23'}, {'start_date': '2023-05-23', 'end_date': '2023-08-23'}, {'start_date': '2023-08-23', 'end_date': '2023-11-23'}, {'start_date': '2023-11-23', 'end_date': '2024-02-23'}, {'start_date': '2024-02-23', 'end_date': '2024-05-23'}, {'start_date': '2024-05-23', 'end_date': '2024-08-23'}, {'start_date': '2024-08-23', 'end_date': '2024-11-25'}, {'start_date': '2024-11-25', 'end_date': '2025-02-24'}, {'start_date': '2025-02-24', 'end_date': '2025-05-23'}, {'start_date': '2025-05-23', 'end_date': '2025-08-25'}, {'start_date': '2025-08-25', 'end_date': '2025-11-24'}, {'start_date': '2025-11-24', 'end_date': '2026-02-23'}, {'start_date': '2026-02-23', 'end_date': '2026-05-25'}, {'start_date': '2026-05-25', 'end_date': '2026-08-24'}, {'start_date': '2026-08-24', 'end_date': '2026-11-23'}, {'start_date': '2026-11-23', 'end_date': '2027-02-23'}, {'start_date': '2027-02-23', 'end_date': '2027-05-24'}, {'start_date': '2027-05-24', 'end_date': '2027-08-23'}]","[0.00048036552970056505, 0.2105615248141133, 0.16288209574944307, 0.16601214998372435, 0.2663286156321413, 0.0030826824204374242, -0.0020585020575672125, -0.007311165438691922, -0.012149072373644114, -0.017876477266041867, -0.01611090697078315, -0.022166418323441663, 0.0, 0.2934673386513558, -0.021619328065406375, 0.0, 0.2852057373418515, -0.015243113983074126, 0.0]","[0.9996055707066062, 0.9928346318981531, 0.9842360420906225, 0.9753483815827593, 0.9662469062378873, 0.9582197448210892, 0.9504791763138638, 0.9430772873850352, 0.9370813937581605, 0.9305407935157071, 0.9237665550038839, 0.9174137133832322, 0.9112591654847085, 0.906421306703082, 0.9003310739502489, 0.8943771863002313, 0.8896061265438093, 0.8837515990302646, 0.8779303919002273]","[122.30108491888298, 51860.85474838376, 41469.78871784528, 42266.70066310115, 67807.27721462221, 767.7890993882468, -524.0947140923189, -1901.888759466938, -3059.533115860435, -4353.467030536283, -4191.008004057992, -5582.227912948306, 0.0, 73904.65818403344, -5444.452722353938, 0.0, 72613.3932294047, -3796.5301515801884, 0.0]",862.1429714693222,1214714.9140813672
3,CIRS_B,"[{'start_date': '2022-11-23', 'end_date': '2023-02-23'}, {'start_date': '2023-02-23', 'end_date': '2023-05-23'}, {'start_date': '2023-05-23', 'end_date': '2023-08-23'}, {'start_date': '2023-08-23', 'end_date': '2023-11-23'}, {'start_date': '2023-11-23', 'end_date': '2024-02-23'}, {'start_date': '2024-02-23', 'end_date': '2024-05-23'}, {'start_date': '2024-05-23', 'end_date': '2024-08-23'}, {'start_date': '2024-08-23', 'end_date': '2024-11-25'}, {'start_date': '2024-11-25', 'end_date': '2025-02-24'}, {'start_date': '2025-02-24', 'end_date': '2025-05-23'}, {'start_date': '2025-05-23', 'end_date': '2025-08-25'}, {'start_date': '2025-08-25', 'end_date': '2025-11-24'}, {'start_date': '2025-11-24', 'end_date': '2026-02-23'}, {'start_date': '2026-02-23', 'end_date': '2026-05-25'}, {'start_date': '2026-05-25', 'end_date': '2026-08-24'}, {'start_date': '2026-08-24', 'end_date': '2026-11-23'}, {'start_date': '2026-11-23', 'end_date': '2027-02-23'}, {'start_date': '2027-02-23', 'end_date': '2027-05-24'}, {'start_date': '2027-05-24', 'end_date': '2027-08-23'}]","[0.0012478545118562098, 0.7597755896805816, 0.010463245615267677, -0.00157683581288727, -0.01663539792874962, -0.03156099558116059, -0.04361723196819582, -0.04329686309659983, -0.04922311028782722, -0.052153361306182346, -0.05232375409708319, -0.07150563565005066, 0.0, 0.5568640447416593, -0.03808436575023822, 0.0, 0.5511774260781107, -0.014184822640992138, 0.0]","[0.9988021008496258, 0.9809179438039141, 0.9627740599341356, 0.9447117314365145, 0.9257456072849821, 0.9103075359594349, 0.8950918088122426, 0.8804455897483963, 0.8732084206495323, 0.860100642800247, 0.8465239993899585, 0.8337860369527155, 0.8214347461711516, 0.81195445536375, 0.7996107959545646, 0.7875184661622698, 0.7761668835623778, 0.7645556431492673, 0.7530338077687145]","[-1494.321162455492, -880171.9193560203, -12529.865623201587, 1888.2803263740348, 19921.09411362474, 36973.0578097218, 52232.17302861, 52975.669254144945, 58304.57184917673, 59738.889100764834, 64020.47845817197, 84698.13156870837, -0.0, -659603.1725141198, 45110.77472006505, -0.0, -660041.7630666674, 16617.228254963913, -0.0]",-49717.057299242355,-4813581.548862708
